2018-01-01 04:04:59;buy;2458151555;8
2018-01-01 09:28:00;buy;2458151933;8
2018-01-01 13:23:16;buy;2458152245;8
2018-01-01 14:20:43;buy;2458152315;8
2018-01-01 16:56:04;buy;2458152371;8
2018-01-01 17:01:42;buy;2458152371;80
2018-01-01 18:59:49;buy;2458152315;80
2018-01-02 02:57:43;buy;2458153264;8
2018-01-02 03:48:38;buy;2458151481;8
2018-01-02 05:25:38;buy;2458152579;8
2018-01-02 06:56:41;buy;2458152825;80
2018-01-02 07:57:24;buy;2458151525;80
2018-01-02 12:47:33;buy;2458151771;8
2018-01-02 14:22:11;buy;2458152825;8
2018-01-02 18:09:20;buy;2458151468;80
2018-01-02 19:08:12;buy;2458151468;8
2018-01-02 19:14:09;buy;2458151757;8
2018-01-02 23:01:53;buy;2458151919;8
2018-01-03 01:33:30;buy;2458151481;80
2018-01-03 03:46:02;buy;2458154757;8
2018-01-03 04:43:44;buy;2458153284;8
2018-01-03 06:11:43;buy;2458153571;8
2018-01-03 10:00:39;buy;2458154363;8
2018-01-03 10:53:27;buy;2458152158;8
2018-01-03 13:55:58;buy;2458152579;80
2018-01-03 14:22:38;buy;2458154859;8
2018-01-03 15:41:48;buy;2458151970;80
2018-01-03 16:44:33;buy;2458154074;8
2018-01-03 20:19:16;buy;2458151970;8
2018-01-04 00:21:27;buy;2458154712;80
2018-01-04 00:50:27;buy;2458151279;8
2018-01-04 02:11:14;buy;2458155036;8
2018-01-04 02:49:55;buy;2458153373;8
2018-01-04 08:18:52;buy;2458153405;8
2018-01-04 10:43:38;buy;2458151500;8
2018-01-04 11:33:59;buy;2458154725;8
2018-01-04 13:38:55;buy;2458153373;80
2018-01-04 14:55:11;buy;2458156639;8
2018-01-04 17:40:11;buy;2458151911;8
2018-01-04 20:56:56;buy;2458152158;80
2018-01-04 23:17:59;buy;2458154712;8
2018-01-05 00:01:11;buy;2458154161;8
2018-01-05 03:04:13;buy;2458151911;80
2018-01-05 03:10:13;buy;2458156940;8
2018-01-05 03:12:01;buy;2458154994;8
2018-01-05 10:09:07;buy;2458153570;8
2018-01-05 10:23:05;buy;2458151279;80
2018-01-05 11:22:40;buy;2458152536;8
2018-01-05 14:02:56;buy;2458158225;8
2018-01-05 16:57:38;buy;2458154161;80
2018-01-05 18:55:48;buy;2458154102;8
2018-01-05 18:56:16;buy;2458154213;8
2018-01-05 19:20:18;buy;2458154934;8
2018-01-05 20:39:26;buy;2458154102;80
2018-01-05 20:49:47;buy;2458157558;8
2018-01-05 23:29:46;buy;2458153284;80
2018-01-06 00:16:45;buy;2458155563;8
